Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,285.55,287.90,280.95,282.44,23600,282.44
2014-06-12,291.50,291.50,284.02,285.85,27400,285.85
2014-06-11,292.29,292.99,290.00,291.59,13400,291.59
2014-06-10,291.97,293.08,290.10,293.08,26500,293.08
2014-06-09,295.73,296.94,291.56,292.95,46800,292.95
2014-06-06,291.71,297.08,289.83,295.03,56200,295.03
2014-06-05,286.75,293.43,286.75,291.71,58200,291.71
2014-06-04,278.50,286.80,277.01,286.23,65600,286.23
2014-06-03,278.42,280.70,273.85,279.52,44200,279.52
2014-06-02,278.17,279.50,272.27,278.97,47900,278.97
2014-05-30,275.36,277.68,271.89,276.10,49200,276.10
2014-05-29,272.00,281.08,270.77,274.60,71200,274.60
2014-05-28,264.75,269.70,264.33,267.55,34700,267.55
2014-05-27,266.44,269.70,264.15,265.41,34100,265.41
2014-05-23,261.64,266.32,259.01,266.15,45100,266.15
2014-05-22,261.01,265.95,260.35,261.64,35400,261.64
2014-05-21,260.55,263.35,258.46,262.15,48600,262.15
2014-05-20,260.81,261.61,256.11,260.54,36700,260.54
2014-05-19,262.90,265.86,260.01,262.20,45400,262.20
2014-05-16,259.42,264.66,257.31,263.64,23100,263.64
2014-05-15,260.52,260.95,255.66,257.36,44800,257.36
2014-05-14,268.51,268.51,260.28,261.49,45400,261.49
2014-05-13,273.43,273.50,266.74,268.39,45600,268.39
2014-05-12,270.21,277.21,268.20,274.64,50600,274.64
2014-05-09,263.00,269.06,260.36,269.00,41500,269.00
2014-05-08,263.27,270.01,261.39,262.97,35800,262.97
2014-05-07,255.15,264.34,255.15,263.27,49800,263.27
2014-05-06,259.69,259.69,254.50,255.48,27600,255.48
2014-05-05,257.62,260.80,251.82,259.45,51600,259.45
2014-05-02,260.13,262.14,254.83,257.36,47500,257.36
2014-05-01,249.19,258.74,246.81,258.06,74600,258.06
2014-04-30,243.12,251.03,241.29,250.11,71800,250.11
2014-04-29,247.55,247.55,241.75,243.08,26000,243.08
2014-04-28,249.58,251.92,241.90,246.19,59500,246.19
2014-04-25,251.82,252.31,245.97,247.80,30400,247.80
2014-04-24,257.58,258.29,250.86,251.98,50700,251.98
2014-04-23,250.51,256.84,250.51,256.20,60700,256.20
2014-04-22,248.25,255.65,246.32,252.89,42300,252.89
2014-04-21,247.51,249.00,245.10,248.94,31000,248.94
2014-04-17,247.00,251.92,244.30,248.53,49700,248.53
2014-04-16,244.02,247.72,243.33,246.64,44500,246.64
