Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,25.05,25.31,24.87,24.96,68900,24.96
2014-06-12,25.44,25.44,25.00,25.06,98300,25.06
2014-06-11,25.30,25.50,25.06,25.46,106100,25.46
2014-06-10,25.46,25.57,25.24,25.39,58400,25.39
2014-06-09,25.59,25.62,25.34,25.44,107100,25.44
2014-06-06,25.59,25.60,25.42,25.52,69800,25.52
2014-06-05,25.48,25.64,25.26,25.53,122600,25.53
2014-06-04,25.27,25.53,25.05,25.35,141400,25.35
2014-06-03,25.15,25.45,25.01,25.27,252300,25.27
2014-06-02,25.50,25.50,24.82,25.31,349000,25.31
2014-05-30,24.59,25.01,24.59,25.00,99300,25.00
2014-05-29,24.82,25.07,24.66,24.88,125500,24.88
2014-05-28,25.02,25.10,24.52,24.90,127500,24.90
2014-05-27,25.40,25.40,24.89,24.92,137600,24.92
2014-05-23,25.59,25.62,25.40,25.49,184100,25.49
2014-05-22,25.20,25.60,25.20,25.59,300500,25.59
2014-05-21,25.30,25.39,25.20,25.20,164000,25.20
2014-05-20,25.11,25.32,25.00,25.25,235700,25.25
2014-05-19,24.91,25.15,24.87,25.11,176400,25.11
2014-05-16,24.85,25.14,24.78,24.83,305600,24.83
2014-05-15,24.85,24.95,24.75,24.75,524000,24.75
2014-05-14,25.02,25.10,24.75,24.85,5044700,24.85
2014-05-13,26.95,26.95,26.77,26.77,17400,26.77
2014-05-12,27.11,27.31,26.95,26.95,11200,26.95
2014-05-09,27.10,27.24,26.84,27.00,20100,27.00
2014-05-08,27.08,27.27,26.80,26.98,28200,26.98
2014-05-07,26.48,27.23,26.48,27.23,41400,27.23
2014-05-06,27.22,27.22,26.48,26.49,26900,26.49
2014-05-05,27.40,27.54,26.80,26.85,27800,26.85
2014-05-02,26.67,27.38,26.67,27.38,22700,27.38
2014-05-01,27.35,27.39,26.56,26.67,27500,26.67
2014-04-30,26.98,28.29,26.98,27.75,74900,27.26
2014-04-29,27.27,27.37,26.98,27.05,9800,26.57
2014-04-28,27.10,27.18,26.93,27.13,12100,26.65
2014-04-25,27.13,27.59,27.05,27.05,4900,26.57
2014-04-24,27.07,27.20,27.03,27.06,2400,26.58
2014-04-23,27.03,27.22,27.03,27.09,13600,26.61
2014-04-22,27.00,27.17,27.00,27.06,11100,26.58
2014-04-21,26.92,27.25,26.90,27.01,23800,26.53
2014-04-17,26.90,27.14,26.90,26.91,16600,26.43
2014-04-16,27.15,27.15,26.85,27.00,34900,26.52
2014-04-15,26.98,27.29,26.90,27.12,6600,26.64
2014-04-14,26.79,27.01,26.79,26.96,13700,26.48
2014-04-11,27.55,27.55,26.65,26.79,17300,26.32
2014-04-10,27.75,27.75,27.02,27.04,9400,26.56
2014-04-09,26.99,27.40,26.99,27.32,25400,26.84
2014-04-08,26.79,27.15,26.69,27.00,15400,26.52
2014-04-07,27.14,27.19,26.58,26.74,16900,26.27
2014-04-04,27.07,27.17,27.04,27.07,24400,26.59
2014-04-03,27.15,27.15,26.81,27.08,5200,26.60
2014-04-02,26.63,27.14,26.29,27.04,19200,26.56
2014-04-01,26.22,26.65,26.08,26.48,21500,26.01
2014-03-31,26.14,26.25,26.05,26.24,31300,25.78
2014-03-28,26.01,26.24,25.92,26.07,24800,25.61
2014-03-27,25.99,26.19,25.82,26.00,22200,25.54
2014-03-26,26.26,26.58,25.90,25.91,15200,25.45
2014-03-25,25.94,26.41,25.94,26.01,22900,25.55
2014-03-24,26.75,26.75,25.71,26.04,34000,25.58
2014-03-21,27.29,27.31,26.74,26.88,27000,26.41
2014-03-20,27.11,27.40,26.67,26.90,22500,26.43
2014-03-19,27.21,27.50,27.02,27.17,9600,26.69
2014-03-18,26.65,27.50,26.50,27.01,27200,26.53
2014-03-17,26.82,27.21,26.60,26.65,21800,26.18
2014-03-14,26.72,26.99,26.65,26.79,27600,26.32
2014-03-13,27.38,27.38,26.60,26.60,13900,26.13
2014-03-12,27.34,27.75,27.00,27.12,23600,26.64
2014-03-11,27.65,27.93,27.34,27.38,19600,26.90
2014-03-10,27.68,28.16,27.40,27.59,30700,27.10
