Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,32.96,32.96,32.05,32.15,29200,32.15
2014-06-12,32.47,32.99,31.89,32.77,22400,32.77
2014-06-11,32.86,32.86,32.50,32.66,18200,32.66
2014-06-10,32.89,33.20,32.50,32.90,16000,32.90
2014-06-09,33.29,33.40,32.74,33.15,28200,33.15
2014-06-06,33.61,34.04,32.51,33.44,39400,33.44
2014-06-05,32.50,33.50,32.50,33.44,23100,33.44
2014-06-04,32.44,32.57,32.00,32.19,31500,32.19
2014-06-03,32.03,32.76,31.87,32.46,25000,32.46
2014-06-02,33.26,33.26,32.03,32.06,16600,32.06
2014-05-30,33.36,33.82,33.20,33.53,18200,33.53
2014-05-29,33.33,33.42,33.06,33.31,9500,33.31
2014-05-28,32.97,33.57,32.86,33.39,14200,33.39
2014-05-27,32.82,33.50,32.61,33.24,20200,33.24
2014-05-23,31.28,32.67,30.74,32.57,37900,32.57
2014-05-22,31.29,31.55,30.98,31.17,32200,31.17
2014-05-21,31.18,31.53,30.96,31.11,27700,31.11
2014-05-20,31.38,31.38,30.82,31.07,38300,31.07
2014-05-19,30.66,31.41,30.66,31.30,12500,31.30
2014-05-16,30.30,30.73,30.00,30.69,24400,30.69
2014-05-15,30.69,30.69,30.18,30.47,28100,30.35
2014-05-14,31.06,31.07,30.16,30.71,45400,30.59
2014-05-13,32.27,33.18,31.18,31.22,73500,31.10
2014-05-12,31.57,32.69,31.33,32.49,25100,32.36
2014-05-09,29.85,31.44,29.85,31.25,38100,31.13
2014-05-08,30.43,31.00,29.56,30.08,51000,29.96
2014-05-07,30.61,31.01,29.91,30.35,32700,30.23
2014-05-06,31.51,31.91,30.26,30.42,37600,30.30
2014-05-05,32.69,32.69,31.74,31.75,27000,31.62
2014-05-02,30.72,33.16,30.72,32.93,60500,32.80
2014-05-01,30.97,31.00,30.13,30.55,35100,30.43
2014-04-30,31.48,31.73,30.78,30.85,29800,30.73
2014-04-29,31.98,32.44,31.52,31.64,16400,31.52
2014-04-28,30.60,31.84,30.52,31.72,30200,31.60
2014-04-25,31.35,31.97,30.80,31.02,28200,30.90
2014-04-24,32.18,32.18,31.42,31.58,23200,31.46
2014-04-23,32.43,32.73,31.75,31.87,21900,31.74
2014-04-22,32.44,33.03,32.25,32.41,24100,32.28
2014-04-21,32.61,32.62,31.99,32.30,14600,32.17
2014-04-17,31.69,32.54,31.37,32.35,21100,32.22
2014-04-16,31.57,31.97,31.38,31.79,20700,31.66
2014-04-15,30.53,31.41,30.08,31.24,26700,31.12
2014-04-14,31.41,31.41,30.56,30.99,33500,30.87
2014-04-11,32.09,32.54,31.00,31.17,46000,31.05
2014-04-10,32.96,32.96,31.97,32.51,46200,32.38
2014-04-09,32.79,33.83,32.50,33.09,25000,32.96
2014-04-08,32.53,32.99,32.16,32.79,23000,32.66
2014-04-07,32.61,32.88,32.23,32.56,27400,32.43
2014-04-04,34.20,34.20,32.51,32.93,53000,32.80
2014-04-03,34.28,34.47,33.78,34.17,31500,34.04
2014-04-02,35.14,35.14,33.93,34.39,25000,34.25
2014-04-01,34.72,35.23,34.57,35.16,29100,35.02
2014-03-31,33.90,35.55,33.80,34.57,34600,34.43
2014-03-28,33.60,34.00,32.11,33.79,35100,33.66
2014-03-27,34.25,34.78,33.40,33.65,26000,33.52
2014-03-26,34.82,34.82,33.91,34.05,30500,33.92
2014-03-25,34.56,34.95,34.16,34.58,34200,34.44
2014-03-24,34.69,35.08,34.09,34.24,34900,34.11
2014-03-21,34.53,35.07,34.15,34.72,54800,34.58
2014-03-20,34.08,34.37,33.90,34.35,28200,34.21
