Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,29.31,29.47,29.31,29.39,57700,29.39
2014-06-12,29.30,29.32,29.16,29.28,68100,29.28
2014-06-11,29.51,29.51,29.26,29.38,62400,29.38
2014-06-10,29.50,29.50,29.39,29.47,51000,29.47
2014-06-09,29.49,29.50,29.36,29.46,44600,29.46
2014-06-06,29.41,29.50,29.36,29.47,55600,29.47
2014-06-05,29.32,29.55,29.31,29.44,57800,29.44
2014-06-04,29.37,29.39,29.25,29.39,61900,29.39
2014-06-03,29.28,29.38,29.15,29.36,70900,29.36
2014-06-02,29.45,29.52,29.23,29.26,99300,29.26
2014-05-30,29.52,29.55,29.30,29.37,96100,29.37
2014-05-29,29.56,29.64,29.41,29.47,81000,29.47
2014-05-28,29.68,29.68,29.46,29.50,61300,29.50
2014-05-27,29.54,29.71,29.27,29.63,64200,29.63
2014-05-23,29.48,29.56,29.36,29.44,51800,29.44
2014-05-22,29.27,29.52,29.18,29.50,50500,29.50
2014-05-21,29.14,29.21,29.10,29.21,63600,29.21
2014-05-20,29.36,29.36,28.97,29.10,86200,29.10
2014-05-19,29.38,29.38,29.20,29.34,80400,29.34
2014-05-16,29.35,29.50,29.29,29.36,105000,29.36
2014-05-15,29.21,29.28,29.09,29.25,97400,29.25
2014-05-14,29.10,29.24,29.10,29.13,91000,29.13
2014-05-13,29.13,29.31,29.13,29.30,67800,29.16
2014-05-12,29.12,29.29,29.08,29.18,64500,29.04
2014-05-09,29.28,29.28,28.99,29.12,66500,28.98
2014-05-08,29.26,29.32,29.18,29.27,73800,29.13
2014-05-07,29.08,29.30,29.03,29.18,68600,29.04
2014-05-06,29.12,29.12,28.95,28.96,76100,28.82
2014-05-05,29.14,29.14,28.90,29.05,159900,28.91
2014-05-02,29.21,29.21,28.85,28.99,95200,28.85
2014-05-01,28.91,29.18,28.83,29.09,78400,28.95
2014-04-30,28.93,29.01,28.67,28.91,71500,28.77
2014-04-29,28.90,28.90,28.77,28.85,50700,28.71
2014-04-28,28.80,28.85,28.71,28.83,50700,28.69
2014-04-25,28.61,28.74,28.53,28.72,73400,28.58
2014-04-24,28.55,28.61,28.46,28.53,61100,28.40
2014-04-23,28.69,28.71,28.52,28.59,65000,28.46
2014-04-22,28.33,28.56,28.28,28.55,51800,28.42
2014-04-21,28.11,28.42,28.11,28.40,85900,28.27
2014-04-17,28.49,28.52,28.12,28.18,66400,28.05
2014-04-16,28.43,28.59,28.38,28.47,55100,28.34
2014-04-15,28.18,28.49,28.18,28.45,58000,28.32
2014-04-14,28.37,28.38,28.06,28.32,67500,28.05
