Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,2.64,2.70,2.61,2.66,24900,2.66
2014-06-12,2.64,2.69,2.62,2.64,13700,2.64
2014-06-11,2.65,2.68,2.60,2.62,14200,2.62
2014-06-10,2.67,2.69,2.67,2.69,12600,2.69
2014-06-09,2.71,2.71,2.58,2.64,19900,2.64
2014-06-06,2.64,2.75,2.58,2.75,77400,2.75
2014-06-05,2.60,2.67,2.58,2.67,86300,2.67
2014-06-04,2.62,2.64,2.62,2.62,5300,2.62
2014-06-03,2.54,2.66,2.54,2.59,49200,2.59
2014-06-02,2.59,2.64,2.55,2.59,61100,2.59
2014-05-30,2.59,2.66,2.59,2.59,29100,2.59
2014-05-29,2.60,2.63,2.57,2.62,28300,2.62
2014-05-28,2.58,2.62,2.54,2.61,36200,2.61
2014-05-27,2.61,2.67,2.57,2.61,76200,2.61
2014-05-23,2.45,2.66,2.45,2.64,136900,2.64
2014-05-22,2.66,2.70,2.56,2.70,72300,2.70
2014-05-21,2.50,2.60,2.50,2.50,27200,2.50
2014-05-20,2.54,2.58,2.42,2.42,33200,2.42
2014-05-19,2.49,2.60,2.46,2.59,132600,2.59
2014-05-16,2.53,2.58,2.46,2.57,97300,2.57
2014-05-15,2.73,2.78,2.50,2.54,154000,2.54
2014-05-14,3.00,3.04,2.80,2.87,107400,2.87
2014-05-13,3.01,3.04,2.96,2.99,60100,2.99
2014-05-12,3.05,3.06,3.01,3.03,55700,3.03
2014-05-09,3.05,3.08,3.01,3.04,16800,3.04
2014-05-08,3.10,3.10,3.02,3.08,25000,3.08
2014-05-07,3.01,3.10,3.01,3.10,21800,3.10
2014-05-06,3.04,3.08,3.02,3.03,14400,3.03
2014-05-05,3.03,3.09,3.00,3.05,14100,3.05
2014-05-02,2.97,3.08,2.97,3.06,32700,3.06
2014-05-01,3.03,3.05,2.99,2.99,10500,2.99
2014-04-30,2.88,3.09,2.84,3.09,48600,3.09
2014-04-29,2.98,3.04,2.87,2.91,142600,2.91
