Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,104.76,104.85,104.02,104.50,888700,104.50
2014-06-12,105.18,105.44,104.31,104.54,741600,104.54
2014-06-11,105.56,105.99,105.02,105.35,584100,105.35
2014-06-10,106.40,106.85,105.31,105.61,986200,105.61
2014-06-09,107.79,108.33,106.38,106.45,1011700,106.45
2014-06-06,109.01,109.01,107.78,107.94,771600,107.94
2014-06-05,107.07,108.77,106.72,108.69,822000,108.69
2014-06-04,106.51,107.12,106.29,106.91,587800,106.91
2014-06-03,107.30,107.50,106.74,106.82,726800,106.82
2014-06-02,107.29,107.93,107.08,107.52,661900,107.52
2014-05-30,106.37,107.39,106.37,107.08,985400,107.08
2014-05-29,106.10,106.51,105.62,106.45,366400,106.45
2014-05-28,106.32,106.57,105.00,106.17,788300,106.17
2014-05-27,105.50,106.54,105.30,106.54,599200,106.54
2014-05-23,104.71,105.56,104.66,105.32,510600,105.32
2014-05-22,105.02,105.35,104.28,104.35,663800,104.35
2014-05-21,105.37,105.91,104.47,104.86,456600,104.86
2014-05-20,105.39,105.79,104.58,105.14,410300,105.14
2014-05-19,105.58,105.58,104.62,105.39,620200,105.39
2014-05-16,105.36,105.87,104.74,105.84,800100,105.84
2014-05-15,105.40,105.78,104.61,105.52,605600,105.52
2014-05-14,105.27,106.02,104.77,105.74,694700,105.74
2014-05-13,106.00,106.65,104.87,105.23,834600,105.23
2014-05-12,105.66,106.02,105.47,105.96,561200,105.96
2014-05-09,105.42,105.68,104.78,105.48,1002000,105.48
2014-05-08,104.66,105.52,104.43,105.04,928200,105.04
2014-05-07,103.86,105.42,103.75,105.20,916300,104.47
2014-05-06,102.14,103.98,102.14,103.50,816800,102.78
2014-05-05,103.28,103.67,102.70,103.54,637300,102.82
2014-05-02,102.90,104.05,102.46,103.32,723700,102.60
2014-05-01,102.64,103.24,101.85,103.16,544200,102.44
2014-04-30,101.77,102.63,101.38,102.60,593600,101.89
2014-04-29,102.41,102.51,101.52,101.98,831100,101.27
2014-04-28,101.27,102.13,100.86,101.93,776600,101.22
2014-04-25,101.00,101.03,99.50,100.76,466700,100.06
2014-04-24,101.18,101.30,100.62,101.02,744500,100.32
2014-04-23,100.99,101.13,100.40,101.01,864800,100.31
2014-04-22,100.31,101.35,99.84,101.21,724600,100.51
2014-04-21,100.42,100.82,99.93,100.53,979400,99.83
2014-04-17,100.27,100.58,99.82,100.52,1014800,99.82
2014-04-16,99.54,100.41,98.92,100.27,893300,99.57
2014-04-15,98.09,99.22,97.80,99.19,835900,98.50
2014-04-14,98.97,98.97,96.93,97.72,1194000,97.04
2014-04-11,97.99,98.76,97.72,98.15,775900,97.47
2014-04-10,99.51,100.15,97.76,98.30,1188600,97.62
2014-04-09,100.25,100.43,98.75,99.29,978900,98.60
2014-04-08,99.36,100.31,98.53,100.26,985800,99.56
2014-04-07,99.25,99.99,99.15,99.33,793000,98.64
2014-04-04,99.79,99.99,98.75,99.16,826800,98.47
2014-04-03,99.49,99.57,98.63,99.19,620800,98.50
2014-04-02,99.22,99.58,98.88,99.23,895600,98.54
2014-04-01,98.62,99.52,98.10,99.44,779800,98.75
2014-03-31,98.53,98.79,97.45,98.56,889100,97.88
2014-03-28,97.32,98.32,97.09,98.10,1075700,97.42
2014-03-27,96.61,97.51,96.35,96.87,961200,96.20
2014-03-26,98.09,98.26,96.69,96.69,886700,96.02
2014-03-25,98.07,98.26,97.44,97.94,798400,97.26
2014-03-24,98.64,98.70,96.90,97.65,995400,96.97
2014-03-21,98.95,99.11,98.07,98.36,1284300,97.68
2014-03-20,96.58,98.21,95.89,98.20,1163000,97.52
2014-03-19,98.74,99.39,96.19,96.60,1374900,95.93
2014-03-18,97.60,98.68,97.36,98.67,1107900,97.99
2014-03-17,97.87,98.38,97.30,97.55,887000,96.87
2014-03-14,97.76,98.58,97.50,97.55,646100,96.87
2014-03-13,98.87,98.87,97.74,97.77,860800,97.09
2014-03-12,98.97,99.28,98.00,98.38,1323400,97.70
2014-03-11,99.05,100.02,98.85,99.29,1374300,98.60
2014-03-10,99.21,99.37,98.44,98.94,939300,98.25
2014-03-07,99.13,99.36,98.49,99.15,1375400,98.46
2014-03-06,99.55,99.77,98.73,99.23,1127800,98.54
2014-03-05,98.74,99.35,98.26,99.20,1504100,98.51
2014-03-04,97.39,98.33,97.12,98.23,1111400,97.55
2014-03-03,95.73,97.82,95.52,96.48,856300,95.81
2014-02-28,94.82,96.44,94.62,96.29,1512000,95.62
2014-02-27,94.74,95.41,94.17,94.79,892000,94.13
2014-02-26,94.05,95.02,93.79,94.63,1050100,93.97
2014-02-25,96.90,96.98,93.68,94.67,1419600,94.01
2014-02-24,94.97,95.84,94.60,94.64,1223600,93.98
2014-02-21,94.74,95.40,94.08,94.78,1264300,94.12
2014-02-20,95.73,95.98,94.64,95.03,667500,94.37
2014-02-19,95.57,96.68,95.46,95.66,615800,95.00
2014-02-18,95.88,96.06,95.01,96.05,617600,95.38
2014-02-14,95.33,96.28,95.22,95.70,593000,95.04
2014-02-13,94.71,96.19,94.53,95.43,837100,94.77
2014-02-12,94.99,95.49,94.42,95.24,652200,94.58
2014-02-11,93.79,95.37,93.52,94.89,700400,94.23
2014-02-10,92.43,94.25,92.13,93.99,781000,93.34
2014-02-07,93.21,93.79,91.61,92.38,964700,91.74
2014-02-06,91.22,92.99,91.04,92.90,1079000,92.26
2014-02-05,91.52,91.83,90.60,91.15,918500,90.52
2014-02-04,90.49,92.08,90.19,91.75,857000,91.11
2014-02-03,91.92,92.16,89.85,90.20,1085800,89.57
2014-01-31,90.85,92.40,90.42,91.83,1168300,91.19
2014-01-30,91.43,92.14,91.21,91.38,1611100,90.75
2014-01-29,90.38,91.58,89.90,90.64,1216500,90.01
2014-01-28,90.39,91.67,90.39,91.35,696800,90.72
2014-01-27,89.72,91.07,89.34,90.29,1156400,89.66
2014-01-24,91.10,91.48,89.77,90.24,918700,89.61
2014-01-23,91.81,92.18,91.39,91.73,633300,91.09
2014-01-22,92.68,93.85,92.57,93.30,625500,91.93
2014-01-21,92.19,92.70,91.68,92.28,976500,90.92
2014-01-17,92.88,92.90,91.46,91.78,791900,90.43
2014-01-16,91.99,92.74,91.87,92.57,485800,91.21
2014-01-15,91.43,92.40,91.43,92.01,632200,90.66
2014-01-14,91.04,91.80,90.85,91.52,614600,90.17
2014-01-13,91.22,92.13,90.61,90.94,700600,89.60
2014-01-10,90.80,91.98,90.65,91.70,963600,90.35
2014-01-09,89.97,90.50,88.63,90.45,680300,89.12
2014-01-08,90.11,90.55,89.27,89.89,629400,88.57
2014-01-07,89.24,90.67,89.15,90.50,738100,89.17
2014-01-06,89.74,89.88,88.84,89.24,708000,87.93
2014-01-03,88.64,90.02,88.28,89.57,643100,88.25
2014-01-02,89.16,89.29,87.82,88.64,783900,87.34
2013-12-31,89.75,89.88,88.55,88.79,1038700,87.48
2013-12-30,89.77,90.30,89.45,89.75,435200,88.43
2013-12-27,89.56,90.03,88.47,89.90,660800,88.58
2013-12-26,89.27,89.64,88.85,89.21,519200,87.90
