Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,25.41,25.45,25.38,25.42,56600,25.42
2014-06-12,25.38,25.45,25.26,25.40,99200,25.40
2014-06-11,25.24,25.32,25.23,25.30,62400,25.30
2014-06-10,25.34,25.34,25.22,25.24,75900,25.24
2014-06-09,25.38,25.39,25.29,25.29,55900,25.29
2014-06-06,25.39,25.43,25.32,25.35,57200,25.35
2014-06-05,25.29,25.39,25.15,25.34,51100,25.34
2014-06-04,25.41,25.41,25.15,25.19,156800,25.19
2014-06-03,25.45,25.49,25.30,25.38,138300,25.38
2014-06-02,25.37,25.49,25.35,25.44,278400,25.44
2014-05-30,25.40,25.49,25.35,25.49,51200,25.49
2014-05-29,25.35,25.40,25.33,25.40,104800,25.40
2014-05-28,25.34,25.35,25.29,25.35,67100,25.35
2014-05-27,25.35,25.38,25.30,25.33,73900,25.33
2014-05-23,25.36,25.38,25.30,25.35,79500,25.35
2014-05-22,25.30,25.37,25.26,25.35,109400,25.35
2014-05-21,25.29,25.30,25.11,25.28,173400,25.28
2014-05-20,25.27,25.30,25.18,25.25,222800,25.25
2014-05-19,25.23,25.25,25.22,25.24,95300,25.24
2014-05-16,25.26,25.35,25.23,25.24,217400,25.24
2014-05-15,25.20,25.26,25.18,25.24,107600,25.24
2014-05-14,25.14,25.22,25.14,25.20,68200,25.20
2014-05-13,25.17,25.25,25.13,25.20,1204200,25.20
2014-05-12,25.15,25.17,25.10,25.16,122700,25.16
2014-05-09,25.31,25.31,25.09,25.13,53700,25.13
2014-05-08,25.12,25.17,25.10,25.14,91600,25.14
2014-05-07,25.20,25.26,25.12,25.13,336300,25.13
2014-05-06,25.10,25.26,25.09,25.14,169400,25.14
2014-05-05,25.10,25.14,25.05,25.10,308600,25.10
2014-05-02,25.10,25.10,25.03,25.06,60200,25.06
2014-05-01,25.07,25.20,25.02,25.06,321000,25.06
2014-04-30,25.08,25.14,25.06,25.07,222800,25.07
2014-04-29,24.99,25.14,24.99,25.07,256000,25.07
2014-04-28,25.23,25.38,25.22,25.29,547100,25.29
2014-04-25,25.22,25.28,25.17,25.17,145500,25.17
2014-04-24,25.19,25.25,25.13,25.19,261200,25.19
2014-04-23,25.10,25.19,25.10,25.14,131900,25.14
2014-04-22,25.12,25.14,25.03,25.10,178900,25.10
2014-04-21,25.11,25.15,25.05,25.08,87900,25.08
2014-04-17,25.11,25.11,25.05,25.08,96900,25.08
2014-04-16,25.09,25.09,25.05,25.08,152200,25.08
2014-04-15,25.09,25.10,25.03,25.08,168600,25.08
2014-04-14,25.10,25.12,25.01,25.05,463600,25.05
2014-04-11,25.10,25.10,25.00,25.06,395100,25.06
2014-04-10,24.95,25.03,24.95,25.00,92400,25.00
2014-04-09,24.93,24.98,24.93,24.95,98400,24.95
2014-04-08,24.90,24.96,24.89,24.94,517400,24.94
2014-04-07,24.98,24.98,24.88,24.90,303800,24.90
2014-04-04,24.96,24.99,24.93,24.98,1182400,24.98
2014-04-03,25.00,25.07,25.00,25.05,295100,25.05
2014-04-02,25.03,25.03,24.98,24.99,176300,24.99
2014-04-01,25.01,25.03,24.98,25.01,214700,25.01
2014-03-31,25.09,25.09,24.96,24.96,287400,24.96
2014-03-28,25.00,25.03,24.96,24.97,117000,24.97
2014-03-27,24.98,25.00,24.95,24.97,670200,24.97
2014-03-26,24.97,25.04,24.96,24.99,382400,24.99
2014-03-25,24.93,24.98,24.91,24.93,297300,24.93
2014-03-24,24.96,25.00,24.90,24.93,354000,24.93
2014-03-21,24.93,24.96,24.89,24.93,511200,24.93
2014-03-20,24.84,24.90,24.81,24.89,191600,24.89
2014-03-19,24.90,24.98,24.80,24.84,1819000,24.84
2014-03-18,24.90,24.92,24.82,24.87,129900,24.87
2014-03-17,24.91,24.95,24.79,24.85,191000,24.85
2014-03-14,24.85,24.85,24.72,24.81,143700,24.81
2014-03-13,24.70,24.85,24.70,24.80,290600,24.80
2014-03-12,24.72,24.74,24.64,24.70,102900,24.70
2014-03-11,24.80,24.84,24.68,24.68,97400,24.68
2014-03-10,24.80,24.84,24.70,24.75,162400,24.75
2014-03-07,24.90,24.92,24.75,24.80,134700,24.80
2014-03-06,24.90,24.93,24.83,24.88,152200,24.88
2014-03-05,24.89,24.95,24.87,24.87,63300,24.87
2014-03-04,24.91,24.96,24.86,24.94,295000,24.94
2014-03-03,24.94,25.00,24.90,24.91,225400,24.91
2014-02-28,24.81,25.00,24.81,25.00,776400,25.00
2014-02-27,24.80,24.85,24.75,24.85,157900,24.85
2014-02-26,24.89,24.89,24.76,24.86,161000,24.86
