Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,60.81,61.19,60.29,60.62,176700,60.62
2014-06-12,60.99,60.99,60.28,60.56,318200,60.56
2014-06-11,61.31,61.52,60.68,60.91,198900,60.91
2014-06-10,61.91,61.91,60.95,61.47,175600,61.47
2014-06-09,60.26,62.10,60.00,61.78,277500,61.78
2014-06-06,59.78,60.45,59.48,60.28,218600,60.28
2014-06-05,58.00,58.99,57.88,58.55,236200,58.55
2014-06-04,57.20,58.10,57.06,57.82,273800,57.82
2014-06-03,56.42,57.39,56.21,57.17,356100,57.17
2014-06-02,56.08,56.89,55.83,56.51,217200,56.51
2014-05-30,55.67,55.94,55.38,55.76,206700,55.76
2014-05-29,55.30,55.89,54.98,55.68,149800,55.68
2014-05-28,55.80,55.89,55.33,55.51,154800,55.51
2014-05-27,55.16,56.02,55.00,55.62,149900,55.62
2014-05-23,53.86,54.82,53.27,54.81,101900,54.81
2014-05-22,53.55,53.93,53.45,53.82,88900,53.82
2014-05-21,52.88,53.67,52.67,53.44,164500,53.44
2014-05-20,53.92,54.08,52.17,52.71,177400,52.71
2014-05-19,53.25,54.07,53.23,54.00,191000,54.00
2014-05-16,52.87,53.33,52.50,53.24,163900,53.24
2014-05-15,53.47,53.74,52.39,52.97,200000,52.97
2014-05-14,54.68,55.29,53.88,53.89,199900,53.74
2014-05-13,55.53,55.78,54.97,55.03,164300,54.88
2014-05-12,54.60,55.82,54.50,55.51,158800,55.36
2014-05-09,52.98,54.32,52.98,54.25,179500,54.10
2014-05-08,53.53,54.34,53.00,53.08,174900,52.93
2014-05-07,53.36,53.60,52.68,53.52,127500,53.37
2014-05-06,54.06,54.54,53.27,53.27,161500,53.12
2014-05-05,53.48,54.38,52.76,54.27,242100,54.12
2014-05-02,52.95,54.10,52.74,53.67,216500,53.52
2014-05-01,52.98,53.80,51.71,52.81,462400,52.66
2014-04-30,55.26,55.28,51.98,53.20,775600,53.05
2014-04-29,56.95,57.36,56.53,56.88,159800,56.72
2014-04-28,56.98,57.12,55.76,56.61,277800,56.45
2014-04-25,57.44,57.58,56.50,56.64,140600,56.48
2014-04-24,58.88,58.90,57.46,57.71,121400,57.55
2014-04-23,58.47,59.32,58.23,58.69,211900,58.53
2014-04-22,58.88,59.18,58.48,58.57,143500,58.41
2014-04-21,59.51,59.51,58.24,58.82,102100,58.66
2014-04-17,57.35,58.84,57.35,58.55,92600,58.39
2014-04-16,57.18,57.44,56.85,57.44,103400,57.28
2014-04-15,57.32,57.61,56.10,56.87,105800,56.71
2014-04-14,57.40,57.69,56.74,57.22,117200,57.06
2014-04-11,57.08,57.75,56.48,56.96,117800,56.80
2014-04-10,59.18,59.24,57.03,57.59,134800,57.43
2014-04-09,58.19,59.44,57.54,59.22,182900,59.06
2014-04-08,56.98,58.13,56.16,57.98,246100,57.82
2014-04-07,57.81,57.81,56.67,56.92,150600,56.76
2014-04-04,59.70,59.84,57.76,57.99,152500,57.83
2014-04-03,60.09,60.54,58.70,59.28,178300,59.11
2014-04-02,58.48,60.01,58.44,59.79,351000,59.62
2014-04-01,58.96,59.19,58.00,58.32,253400,58.16
2014-03-31,58.20,58.93,58.17,58.69,278200,58.53
2014-03-28,57.58,58.73,57.50,57.99,112400,57.83
2014-03-27,58.05,58.15,57.28,57.52,71300,57.36
2014-03-26,59.31,59.41,57.81,58.17,192200,58.01
2014-03-25,59.00,59.40,58.66,59.02,110900,58.86
2014-03-24,59.10,59.46,58.36,58.78,157200,58.62
2014-03-21,58.66,59.55,58.54,59.07,237500,58.91
2014-03-20,57.99,58.64,57.56,58.54,163300,58.38
2014-03-19,58.27,58.46,57.48,57.90,178900,57.74
2014-03-18,58.51,58.89,57.88,58.09,138500,57.93
2014-03-17,57.72,60.30,57.67,58.48,301100,58.32
2014-03-14,55.66,56.49,55.66,56.46,107500,56.30
2014-03-13,56.76,57.03,55.44,55.81,106300,55.65
2014-03-12,57.05,57.30,56.33,56.61,127900,56.45
2014-03-11,59.25,59.39,57.29,57.35,132700,57.19
2014-03-10,59.37,59.53,58.55,59.20,137300,59.04
2014-03-07,59.41,59.83,58.91,59.36,194300,59.19
2014-03-06,59.23,59.59,59.05,59.25,116300,59.09
2014-03-05,59.99,59.99,59.13,59.24,221200,59.08
2014-03-04,59.86,60.87,59.56,60.26,289500,60.09
2014-03-03,61.13,61.17,59.81,60.11,187700,59.94
2014-02-28,62.23,62.38,61.42,61.62,253500,61.45
2014-02-27,61.64,62.13,61.35,62.09,99800,61.92
