Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,11.45,11.50,11.22,11.40,856800,11.40
2014-06-12,11.18,11.49,11.18,11.33,1277000,11.33
2014-06-11,11.16,11.31,11.10,11.25,1109500,11.25
2014-06-10,11.26,11.34,11.13,11.28,870000,11.16
2014-06-09,11.11,11.39,11.10,11.27,758700,11.15
2014-06-06,11.26,11.30,11.01,11.18,660100,11.06
2014-06-05,11.16,11.34,11.05,11.18,871200,11.06
2014-06-04,10.98,11.15,10.89,11.12,814100,11.00
2014-06-03,11.13,11.20,11.00,11.02,930200,10.90
2014-06-02,11.34,11.37,11.08,11.21,918400,11.09
2014-05-30,11.24,11.34,11.10,11.28,682700,11.16
2014-05-29,11.35,11.65,11.14,11.27,2179100,11.15
2014-05-28,11.49,11.60,11.30,11.31,1116600,11.19
2014-05-27,11.39,11.61,11.29,11.35,2012000,11.23
2014-05-23,10.85,11.35,10.81,11.17,3350500,11.05
2014-05-22,10.94,11.04,10.75,10.81,3171200,10.70
2014-05-21,10.91,11.15,10.61,10.85,3465900,10.73
2014-05-20,10.96,11.09,10.75,10.93,3760500,10.81
2014-05-19,11.73,11.91,10.77,10.96,14232500,10.84
2014-05-16,10.55,11.93,10.55,11.27,40965100,11.15
2014-05-15,19.34,20.65,18.58,19.93,3230300,19.72
2014-05-14,18.47,19.90,17.69,19.35,4194300,19.14
2014-05-13,18.01,18.53,17.78,18.40,1175300,18.20
2014-05-12,17.35,18.29,17.25,18.22,915900,18.03
2014-05-09,17.32,17.84,17.14,17.26,873000,17.08
2014-05-08,17.89,18.50,17.30,17.32,1017800,17.14
2014-05-07,18.02,18.13,17.32,17.83,1381400,17.64
2014-05-06,18.59,19.16,18.05,18.12,1255300,17.93
2014-05-05,18.80,19.03,18.30,18.71,1426900,18.51
2014-05-02,20.34,20.36,18.28,18.83,2263200,18.63
2014-05-01,19.94,20.86,19.59,20.33,1161100,20.11
2014-04-30,19.56,19.75,19.09,19.50,753000,19.29
2014-04-29,19.53,19.95,19.34,19.75,652300,19.54
2014-04-28,20.41,20.53,18.82,19.51,2022200,19.30
2014-04-25,22.05,22.05,19.22,20.29,2495400,20.07
2014-04-24,22.27,22.36,21.16,22.21,762100,21.97
2014-04-23,22.43,22.70,21.98,22.10,729000,21.86
2014-04-22,22.86,23.10,22.53,22.59,1205000,22.35
2014-04-21,21.44,23.19,21.21,22.72,1930000,22.48
2014-04-17,22.00,22.05,21.31,21.57,943500,21.34
2014-04-16,21.69,22.01,20.82,21.97,1402600,21.74
2014-04-15,20.30,21.55,19.98,20.75,2522000,20.53
2014-04-14,20.41,20.87,19.94,19.99,1200900,19.78
2014-04-11,20.65,21.22,19.63,20.29,2320700,20.07
2014-04-10,22.67,22.77,21.08,21.12,2031000,20.90
2014-04-09,22.25,22.87,22.13,22.75,1617000,22.51
2014-04-08,23.96,24.05,22.04,22.21,2989100,21.97
2014-04-07,27.00,27.04,21.73,23.90,8939800,23.65
2014-04-04,28.70,28.99,27.25,28.02,2059600,27.72
2014-04-03,29.24,29.24,28.01,28.41,1192800,28.11
2014-04-02,29.70,29.80,28.74,29.04,1324800,28.73
2014-04-01,28.88,30.39,28.64,29.60,1909400,29.29
2014-03-31,27.60,28.95,27.54,28.88,1310600,28.57
2014-03-28,27.41,28.35,27.05,27.52,794500,27.23
2014-03-27,27.39,27.39,26.28,27.35,1757600,27.06
2014-03-26,29.86,29.95,27.39,27.53,2638600,27.24
2014-03-25,30.14,30.45,28.91,29.71,1140400,29.39
2014-03-24,31.00,31.03,29.60,30.05,873900,29.73
2014-03-21,31.64,31.69,30.70,30.83,1529500,30.50
2014-03-20,31.00,31.63,30.80,31.39,821800,31.06
2014-03-19,30.83,31.49,30.55,31.14,1423100,30.81
2014-03-18,30.32,30.92,29.91,30.90,1022500,30.57
2014-03-17,31.14,31.18,30.00,30.37,1410800,30.05
2014-03-14,29.71,31.11,29.65,30.94,1551900,30.61
2014-03-13,29.82,31.98,28.83,29.75,2514100,29.43
2014-03-12,29.65,30.22,29.18,29.67,843100,29.35
2014-03-11,30.12,30.71,29.33,29.92,1015000,29.48
2014-03-10,29.46,30.18,28.82,30.09,1186900,29.65
2014-03-07,29.99,31.90,29.22,29.64,4790500,29.21
2014-03-06,27.13,30.00,26.90,29.80,3393400,29.36
2014-03-05,26.14,27.43,25.88,27.10,1656300,26.70
2014-03-04,23.38,26.49,23.35,26.24,2794600,25.86
2014-03-03,22.78,23.39,22.60,23.20,787500,22.86
2014-02-28,22.85,23.76,22.68,22.92,1745000,22.59
2014-02-27,22.98,23.48,22.35,22.74,1305400,22.41
2014-02-26,23.67,23.72,22.92,22.96,806500,22.62
