Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,12.65,12.73,12.57,12.61,5159800,12.61
2014-06-12,12.77,12.82,12.60,12.63,5877000,12.63
2014-06-11,12.80,12.83,12.72,12.75,4847900,12.75
2014-06-10,12.86,12.93,12.82,12.84,6522500,12.84
2014-06-09,12.86,13.01,12.78,12.92,10631100,12.92
2014-06-06,12.46,12.87,12.46,12.85,13621600,12.85
2014-06-05,12.53,12.54,12.37,12.41,5750500,12.41
2014-06-04,12.40,12.63,12.39,12.50,6763500,12.50
2014-06-03,12.35,12.49,12.30,12.46,6398600,12.46
2014-06-02,12.37,12.45,12.27,12.41,4161200,12.41
2014-05-30,12.29,12.37,12.22,12.35,7099300,12.35
2014-05-29,12.28,12.30,12.11,12.30,4539700,12.30
2014-05-28,12.15,12.30,12.06,12.20,7240700,12.20
2014-05-27,12.13,12.26,12.02,12.15,14289700,12.15
2014-05-23,11.91,12.07,11.85,12.06,5453300,12.06
2014-05-22,11.81,11.94,11.80,11.82,7816100,11.82
2014-05-21,12.03,12.04,11.77,11.85,12620100,11.85
2014-05-20,12.17,12.19,11.95,12.00,5456300,12.00
2014-05-19,11.93,12.18,11.92,12.17,5032000,12.17
2014-05-16,11.85,11.98,11.76,11.93,6288500,11.93
2014-05-15,11.95,12.02,11.75,11.86,6831900,11.86
2014-05-14,12.15,12.17,11.92,11.98,4778800,11.98
2014-05-13,11.96,12.14,11.88,12.09,8400000,12.09
2014-05-12,11.88,12.06,11.87,12.01,7674100,12.01
2014-05-09,11.88,11.91,11.78,11.84,5601300,11.84
2014-05-08,11.79,12.02,11.71,11.92,7732300,11.92
2014-05-07,11.76,11.91,11.70,11.83,10013900,11.83
2014-05-06,11.93,11.97,11.70,11.72,10685500,11.72
2014-05-05,11.98,12.03,11.93,11.98,8425300,11.98
2014-05-02,12.03,12.17,11.98,12.03,8064700,12.03
2014-05-01,12.10,12.20,12.04,12.08,7060600,12.08
2014-04-30,12.07,12.11,11.91,12.09,10191800,12.09
2014-04-29,12.03,12.15,11.96,12.11,12260000,12.11
2014-04-28,11.82,12.02,11.60,12.00,14039900,12.00
2014-04-25,11.92,11.95,11.74,11.74,14933300,11.74
2014-04-24,12.06,12.07,11.73,11.99,12781700,11.99
2014-04-23,11.59,12.27,11.55,11.96,17951600,11.96
2014-04-22,11.18,11.76,11.08,11.59,19512300,11.59
2014-04-21,11.51,11.54,11.36,11.47,9157100,11.47
2014-04-17,11.41,11.49,11.22,11.43,10742200,11.43
2014-04-16,11.44,11.54,11.34,11.50,7424700,11.50
2014-04-15,11.34,11.44,11.11,11.31,10210500,11.31
2014-04-14,11.17,11.36,11.07,11.35,8756400,11.35
2014-04-11,11.24,11.31,11.01,11.06,7443700,11.06
2014-04-10,11.52,11.54,11.26,11.31,8714900,11.31
2014-04-09,11.54,11.56,11.42,11.49,7894100,11.49
2014-04-08,11.41,11.60,11.35,11.49,8889900,11.49
2014-04-07,11.50,11.61,11.30,11.43,8580100,11.43
2014-04-04,11.83,11.96,11.47,11.48,11510400,11.48
2014-04-03,11.50,11.79,11.50,11.77,13684000,11.77
2014-04-02,11.45,11.60,11.41,11.50,11024500,11.50
2014-04-01,11.35,11.46,11.21,11.44,14766000,11.44
2014-03-31,11.15,11.40,11.08,11.30,9994600,11.30
2014-03-28,10.92,11.18,10.86,11.06,11247300,11.06
2014-03-27,10.85,10.97,10.76,10.91,9500400,10.91
2014-03-26,11.09,11.15,10.90,10.95,8661900,10.89
2014-03-25,11.04,11.10,10.90,11.05,13153200,10.99
2014-03-24,11.24,11.27,10.75,10.98,16510700,10.92
2014-03-21,11.15,11.25,11.03,11.20,27773100,11.14
